numberOfGuests,roomType,maxNights,city,state,price,numberOfBedsAvailable,numberOfBedrooms,allowsChildren,allowsEvents,allowsPets,allowsSmoking,allowsInfants,review_count,amenities,regular_bed,relaxing_bed,kids_bed,numberofbathroom,bathroomType
12,Entire unit,1125,Eldoret,Uasin Gishu County,170.0,6.0,6.0,1,1,0,1,1,2.0,1,6,0,0,6.0,unknown
2,Private room,1125,Nairobi,NAIROBI,22.0,1.0,1.0,1,0,0,0,1,0.0,1,0,0,0,1.0,private
4,Entire unit,365,Nairobi,NAIROBI,2500.0,1.0,1.0,0,0,0,0,0,0.0,1,0,0,0,1.0,unknown
4,Entire unit,1125,Underpass,Machakos,30.0,2.0,2.0,1,0,1,0,1,0.0,1,3,0,0,2.0,unknown
2,Entire unit,365,Ukunda,Kwale,120.0,1.0,1.0,0,0,0,1,0,7.0,1,1,0,0,1.0,unknown
10,Entire unit,1125,Homa Bay,Homa Bay,20.0,6.0,2.0,1,1,1,0,1,5.0,1,3,0,0,4.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,19.0,0.0,1.0,1,0,0,0,1,7.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,Mombasa,Mombasa,20.0,1.0,3.0,1,0,0,0,1,2.0,1,3,0,0,1.0,unknown
10,Private room,1125,Eldoret,Uasin Gishu County,200.0,5.0,4.0,1,1,1,0,1,2.0,1,4,5,0,5.0,unknown
3,Entire unit,1125,Mombasa,Mombasa,21.0,2.0,1.0,1,0,1,0,1,4.0,1,0,0,0,1.0,unknown
5,Entire unit,1125,Mambrui,kilifi,180.0,3.0,2.0,0,0,0,0,0,2.0,0,0,0,0,2.0,unknown
2,Other,1125,Nairobi,NAIROBI,26.0,1.0,1.0,1,0,0,0,1,26.0,1,1,0,0,1.0,shared
2,Entire unit,365,Nairobi,NAIROBI,15.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
7,Entire unit,1125,Kakamega,Kakamega,160.0,8.0,6.0,1,1,1,1,1,1.0,1,7,0,0,3.0,unknown
2,Entire unit,1125,Mombasa,Mombasa,20.0,1.0,2.0,0,0,0,0,0,0.0,1,0,0,0,1.0,unknown
2,Private room,30,Nairobi,NAIROBI,10.0,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,1.0,unknown
10,Entire unit,1125,DIANI BEACH,Kwale,189.0,5.0,5.0,1,0,0,1,1,40.0,1,3,0,0,3.0,unknown
6,Entire unit,1000,Nairobi,NAIROBI,300.0,4.0,3.0,0,1,1,1,0,0.0,1,0,0,0,3.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,40.0,1.0,1.0,0,0,0,0,0,5.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,45.0,1.0,2.0,1,0,1,1,1,6.0,1,0,0,0,1.0,unknown
4,Entire unit,365,Kilifi,kilifi,25.0,2.0,2.0,1,0,1,1,1,15.0,1,2,0,0,1.0,unknown
2,Entire unit,21,Nairobi,NAIROBI,38.0,1.0,1.0,1,0,1,0,0,28.0,1,1,1,0,1.0,unknown
3,Entire unit,365,Nairobi,NAIROBI,10.0,1.0,1.0,1,0,1,0,1,0.0,1,3,0,0,1.0,unknown
4,Entire unit,365,Nairobi,NAIROBI,50.0,2.0,2.0,1,0,1,1,1,8.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,60.0,1.0,1.0,1,0,0,0,1,25.0,1,1,0,0,1.0,unknown
8,Private room,1125,Bungoma,Bungoma,12.0,8.0,4.0,1,0,0,0,1,5.0,1,6,0,0,2.0,shared
2,Other,28,DIANI BEACH,Kwale,48.0,1.0,1.0,1,0,1,1,1,7.0,1,1,0,0,1.0,private
6,Private room,1125,Nairobi,NAIROBI,28.0,4.0,3.0,1,0,0,0,1,9.0,1,3,0,0,4.0,unknown
8,Private room,1125,Wasini Island,Kwale,45.0,4.0,3.0,1,1,0,1,1,5.0,0,4,0,0,3.0,shared
12,Entire unit,40,Watamu,NAIROBI,109.0,10.0,7.0,1,0,1,1,1,21.0,1,6,0,0,6.0,unknown
4,Entire unit,1125,Nairobi,NAIROBI,70.0,3.0,2.0,1,0,1,1,1,23.0,1,0,0,0,2.0,unknown
2,Entire unit,1125,South,NAIROBI,23.0,1.0,1.0,1,1,1,1,1,22.0,1,1,0,0,1.0,unknown
6,Entire unit,365,Nairobi,NAIROBI,120.0,3.0,3.0,1,0,0,1,1,0.0,1,3,0,0,3.0,unknown
3,Entire unit,365,Igoji,Meru,39.0,2.0,2.0,0,0,0,0,0,0.0,0,0,0,0,2.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,65.0,1.0,1.0,0,0,0,0,0,2.0,1,1,0,0,1.0,unknown
10,Entire unit,1125,Mombasa,Mombasa,150.0,6.0,4.0,1,0,1,0,1,0.0,1,6,0,0,4.0,unknown
8,Entire unit,1125,Usenge,Siaya,30.0,3.0,4.0,1,1,1,1,1,0.0,1,3,0,0,3.0,unknown
16,Private room,1125,DIANI BEACH,Kwale,49.0,3.0,1.0,1,1,0,1,0,1.0,1,1,0,0,1.0,shared
6,Entire unit,1125,Nairobi,NAIROBI,25.0,3.0,3.0,1,0,0,0,1,9.0,1,0,0,0,2.0,unknown
2,Private room,1000,Nairobi,NAIROBI,115.0,1.0,14.0,1,1,1,1,1,2.0,1,7,0,0,1.0,private
6,Other,90,Rironi,Kiambu,54.0,3.0,3.0,0,0,1,0,0,1.0,1,3,0,0,1.0,unknown
8,Entire unit,365,Watamu,kilifi,220.0,5.0,4.0,0,0,0,0,0,26.0,1,3,0,0,4.0,unknown
4,Entire unit,1125,Nairobi,NAIROBI,69.0,2.0,2.0,1,0,0,0,1,0.0,0,0,0,0,2.0,unknown
2,Entire unit,60,Nairobi,NAIROBI,19.0,1.0,2.0,1,0,0,0,1,74.0,0,1,0,0,1.0,unknown
4,Other,1125,Dol Dol,Laikipia,125.0,3.0,1.0,0,0,0,1,0,0.0,0,1,0,0,1.0,unknown
1,Private room,365,Mombasa,Mombasa,25.0,1.0,1.0,0,0,0,0,1,0.0,0,0,0,0,1.0,private
2,Entire unit,1125,Nairobi,NAIROBI,21.0,2.0,1.0,1,0,0,0,1,2.0,1,2,0,0,1.0,unknown
2,Private room,1125,Kitale,Trans-Nzoia County,22.0,2.0,2.0,1,1,1,0,1,1.0,1,2,0,0,1.0,private
16,Entire unit,1125,DIANI BEACH,Kwale,1090.0,13.0,5.0,1,0,0,0,1,34.0,1,7,3,0,5.0,unknown
2,Private room,1125,Nairobi,NAIROBI,90.0,1.0,1.0,1,1,1,1,1,0.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,16.0,1.0,2.0,1,0,0,0,0,16.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,Mtwapa,kilifi,20.0,1.0,1.0,1,0,0,1,0,4.0,0,1,0,0,1.0,unknown
3,Private room,1125,DIANI BEACH,Kwale,24.0,2.0,1.0,1,1,0,1,1,23.0,1,1,0,0,1.0,private
2,Entire unit,365,Mtwapa,kilifi,25.0,1.0,2.0,1,0,0,1,1,1.0,0,0,0,0,1.0,unknown
2,Entire unit,365,Nairobi,NAIROBI,40.0,1.0,1.0,1,0,0,1,1,17.0,1,1,0,0,1.0,unknown
7,Entire unit,1125,Malindi,kilifi,138.0,3.0,3.0,1,0,0,0,1,15.0,1,3,0,0,4.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,36.0,1.0,1.0,1,0,0,1,1,0.0,0,1,0,0,1.0,unknown
2,Entire unit,1125,Kakamega,Kakamega,12.0,1.0,1.0,1,0,1,1,1,16.0,0,1,0,0,1.0,unknown
16,Private room,1125,Mtwapa,Mombasa,50.0,3.0,2.0,1,1,0,1,1,0.0,0,1,0,0,1.0,private
2,Entire unit,365,Nairobi,NAIROBI,12.0,1.0,1.0,0,0,0,0,0,13.0,1,1,0,0,1.0,unknown
4,Entire unit,365,Nairobi,Kiambu,45.0,2.0,2.0,0,0,1,0,0,9.0,0,1,0,0,2.0,unknown
4,Entire unit,1125,Nairobi,NAIROBI,40.0,2.0,2.0,0,0,0,0,1,5.0,1,0,0,0,2.0,unknown
2,Private room,365,Mombasa,Mombasa,24.0,1.0,1.0,0,0,0,0,0,4.0,1,0,0,0,1.0,private
